STT,year,location_code,Tong_Import,Tong_Export,Balance
561,1965,NCL,74452188,53693494,-20758694
562,1965,NER,30834922,21459792,-9375130
563,1965,NGA,666653179,758215865,91562686
564,1965,NIC,163574198,155147700,-8426498
565,1965,NLD,9975731197,7795151577,-2180579620
566,1965,NOR,2085063032,1471414968,-613648064
567,1965,NPL,35412462,25297796,-10114666
568,1965,NZL,989089369,1087525746,98436377
569,1965,OMN,55982965,184036744,128053779
570,1965,PAK,963316067,520510923,-442805144
571,1965,PAN,381924459,127011873,-254912586
572,1965,PER,709048192,818387609,109339417
573,1965,PHL,963299884,837271955,-126027929
574,1965,PNG,87361046,43944741,-43416305
575,1965,POL,731006522,791760046,60753524
576,1965,PRK,37488469,22888260,-14600209
577,1965,PRT,922271033,588051454,-334219579
578,1965,PRY,61564757,67464828,5900071
579,1965,PYF,44277791,15679406,-28598385
580,1965,QAT,64927201,148657008,83729807
581,1965,REU,70638346,36022563,-34615783
582,1965,ROU,374350593,327388625,-46961968
583,1965,RWA,1833203,597029,-1236174
584,1965,SAU,401543187,1195026954,793483767
585,1965,SDN,188805179,192963405,4158226
586,1965,SEN,193592300,165554850,-28037450
587,1965,SGP,1106500295,211399163,-895101132
588,1965,SLE,80114890,106332278,26217388
589,1965,SLV,192376991,201233169,8856178
590,1965,SOM,26171242,28423715,2252473
591,1965,SPM,4859203,1737748,-3121455
592,1965,SUR,80404687,53436067,-26968620
593,1965,SWE,4128273253,3778886704,-349386549
594,1965,SYC,254625,0,-254625
595,1965,SYR,138616175,174590339,35974164
596,1965,TCD,20893566,21584780,691214
597,1965,TGO,39716557,34306341,-5410216
598,1965,THA,656022044,654500196,-1521848
599,1965,TLS,17727608,23349124,5621516
600,1965,TTO,338522947,279167308,-59355639
601,1965,TUN,236678912,166369964,-70308948
602,1965,TUR,585606872,471058819,-114548053
603,1965,TWN,568403054,499606954,-68796100
604,1965,TZA,93964690,165058147,71093457
605,1965,UGA,53360281,127347675,73987394
606,1965,URY,122996835,193282104,70285269
607,1965,USA,21034676842,26054198507,5019521665
